Date and time: ; 20-01-2025 16:21:15
MFC1:500.30sccm;MFC2:-0.02sccm;t_huber:29.9; t_sht: 28.75; h_sht: 61.30;
psmethod: MultiCA_-1.4_0.12s_0.2V_0.12s_ch0_FRONTEND.txt; channel: F25-0; valve0: 2; valve1: 4; flow0: 0.5; flow1: 0; set_temp: 30; set_RH: 60; 
Time;Voltage; Current;
0.000000000; -0.867187500; -0.000073242; Current
0.000000000; -0.867187500; -2.746582031; CEPotential
0.002999000; -0.849609375; -0.000048828; Current
0.002999000; -0.849609375; -2.744384766; CEPotential
0.005998000; -0.834960938; -0.000073242; Current
0.005998000; -0.834960938; -2.744384766; CEPotential
0.008997000; -0.827636719; -0.000097656; Current
0.008997000; -0.827636719; -2.744384766; CEPotential
0.011996000; -0.818115234; -0.000073242; Current
0.011996000; -0.818115234; -2.743286133; CEPotential
0.014995000; -0.811523438; -0.000097656; Current
0.014995000; -0.811523438; -2.743286133; CEPotential
0.017994000; -0.799804688; -0.000073242; Current
0.017994000; -0.799804688; -2.742187500; CEPotential
0.020993000; -0.784423828; -0.000048828; Current
0.020993000; -0.784423828; -2.742187500; CEPotential
0.023992000; -0.769775391; -0.000097656; Current
0.023992000; -0.769775391; -2.742187500; CEPotential
0.026991000; -0.760253906; -0.000073242; Current
0.026991000; -0.760253906; -2.741088867; CEPotential
0.029990000; -0.752929688; -0.000097656; Current
0.029990000; -0.752929688; -2.741088867; CEPotential
0.032989000; -0.750732422; -0.000097656; Current
0.032989000; -0.750732422; -2.742187500; CEPotential
0.035988000; -0.742675781; -0.000073242; Current
0.035988000; -0.742675781; -2.742187500; CEPotential
0.038987000; -0.730224609; -0.000048828; Current
0.038987000; -0.730224609; -2.739990234; CEPotential
0.041986000; -0.719238281; -0.000048828; Current
0.041986000; -0.719238281; -2.737792969; CEPotential
0.044985000; -0.706054688; -0.000073242; Current
0.044985000; -0.706054688; -2.739990234; CEPotential
0.047984000; -0.697265625; -0.000048828; Current
0.047984000; -0.697265625; -2.737792969; CEPotential
0.050983000; -0.693603516; -0.000048828; Current
0.050983000; -0.693603516; -2.737792969; CEPotential
0.053982000; -0.690673828; -0.000048828; Current
0.053982000; -0.690673828; -2.737792969; CEPotential
0.056981000; -0.687011719; -0.000073242; Current
0.056981000; -0.687011719; -2.737792969; CEPotential
0.059980000; -0.676757813; -0.000073242; Current
0.059980000; -0.676757813; -2.737792969; CEPotential
0.062979000; -0.660644531; -0.000048828; Current
